wals_code,latitude,longitude,x1a,x2a,x3a,x4a,x5a,x6a,x7a,x8a,x9a,x10a,x11a,x12a,x13a,x14a,x15a,x16a,x17a,x18a,x19a,x20a,x21a,x22a,x23a,x24a,x25a,x26a,x27a,x28a,x29a,x30a,x31a,x32a,x33a,x34a,x35a,x36a,x37a,x38a,x39a,x40a,x41a,x42a,x43a,x44a,x45a,x46a,x47a,x48a,x49a,x50a,x51a,x52a,x53a,x54a,x55a,x56a,x57a,x58a,x59a,x60a,x61a,x62a,x63a,x64a,x65a,x66a,x67a,x68a,x69a,x70a,x71a,x72a,x73a,x74a,x75a,x76a,x77a,x78a,x79a,x80a,x81a,x82a,x83a,x84a,x85a,x86a,x87a,x88a,x89a,x90a,x91a,x92a,x93a,x94a,x95a,x96a,x97a,x98a,x99a,x100a,x101a,x102a,x103a,x104a,x105a,x106a,x107a,x108a,x109a,x110a,x111a,x112a,x113a,x114a,x115a,x116a,x117a,x118a,x119a,x120a,x121a,x122a,x123a,x124a,x125a,x126a,x127a,x128a,x129a,x130a,x131a,x132a,x133a,x134a,x135a,x136a,x137a,x138a,x139a,x140a,x141a,x142a,x143a,x144a,iso,language,wiki_code
lux,49.8333333333,6.16666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NA,NA,ltz,Luxembourgish,lb
mai,26,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No fixed stress,Right-oriented: One of the last three,Long vowel,Trochaic,NA,NA,NA,NA,NA,Dependent marking,Dependent marking,Dependent-marking,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrogative-based,NA,NA,NA,NA,Case suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Identity,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,NA,Second person number-neutral,Normal imperative + normal negative,Maximal system,Inflectional optative absent,Verbal constructions,Affixes on verbs,No overlap,NA,NA,NA,NA,NA,SV,OV,NA,Postpositions,NA,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Mixed,NA,NA,NA,Initial subordinator word,OV and Postpositions,Other,OV and AdjN,NA,NA,NA,NA,NA,NA,NA,Indirect-object construction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Identical,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,Other,mai,Maithili,mai
mao,-40,176,Small,Average (5-6),Low,No voicing contrast,Other,None,No glottalized consonants,No laterals,Initial velar nasal,Contrast absent,None,Simple,No tones,No fixed stress,Unbounded: Stress can be anywhere,Long vowel,NA,All present,None,Isolating/concatenative,Monoexponential case,NA,Dependent marking,Dependent marking,Dependent-marking,Little affixation,Productive full and partial reduplication,No case marking,No subject person/number marking,None,No gender,No gender,Plural word,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Unique periphrastic associative plural,Definite word distinct from demonstrative,Indefinite word distinct from 'one',Inclusive/exclusive,No person marking,Three-way contrast,Identical,Related to remote demonstratives,No gender distinctions,No politeness distinction,Mixed,Differentiated,No person marking,No morphological case-marking,No case-marking,No case affixes or adpositional clitics,Differentiation,"One-th, two-th, three-th",Marked by prefix,NA,Formally different,No possessive affixes,Absent,No possessive classification,Adjectives and relative clauses collapsed,NA,Mixed,'And' identical to 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,No tense-aspect inflection,No second-person imperatives,Special imperative + special negative,Maximal system,Inflectional optative absent,Verbal constructions,Other,No overlap,No grammatical evidentials,No grammatical evidentials,None,None,VSO,VS,VO,VOX,Prepositions,Noun-Genitive,Noun-Adjective,Mixed,Noun-Numeral,Noun-Relative clause,Adjective-Degree word,No question particle,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,Nominative - accusative (standard),Nominative - accusative (standard),Neutral,Optional pronouns in subject position,No person marking,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,NA,Present,No antipassive,No applicative construction,Purposive but no sequential,Morphological but no compound,"Negative word, unclear if verb or particle",Asymmetric,A/Fin,Predicate negation also present,Interrogative intonation only,Genitive,Mixed,Different,Possible,Conjoined,Gap,Gap,Subject is left implicit,Deranked,Balanced/deranked,Balanced,NA,Identical,Different,Decimal,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NegV,NegSVO,mri,Maori,mi
mcd,41.6666666667,21.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Antepenultimate,Fixed stress (no weight-sensitivity),No weight,No rhythmic stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Definite word distinct from demonstrative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First, second, three-th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,Second singular and second plural,Special imperative + special negative,Maximal system,NA,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,NA,NA,Tense,None,SVO,SV,VO,NA,Prepositions,No dominant order,Adjective-Noun,Demonstrative-Noun,NA,NA,NA,NA,NA,NA,VO and Prepositions,NA,VO and AdjN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative particle,NA,NA,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,SNegVO,mkd,Macedonian,mk
mgl,42.5,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Direct and indirect,Mixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,xmf,Mingrelian,xmf
mhi,19,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,Three,Sex-based,Semantic and formal,NA,NA,NA,NA,No definite or indefinite article,No definite or indefinite article,NA,NA,Two-way contrast,Identical,Related for all demonstratives,NA,Multiple politeness distinctions,Interrogative-based,Identical,NA,5 cases,Symmetrical,Case suffixes,Identity,NA,Marked by reduplication,Absent,"Formally similar, with interrogative",NA,NA,NA,Highly differentiated,NA,NA,NA,Identity,NA,NA,NA,NA,Tense-aspect suffixes,Second person number-neutral,Special imperative + special negative,Maximal system,NA,Verbal constructions,Verbal constructions,No overlap,NA,NA,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Relative clause-Noun,Degree word-Adjective,Final,Not initial interrogative phrase,Subordinating suffix,OV and Postpositions,OV and RelN,OV and AdjN,Tripartite,Nominative - accusative (standard),NA,NA,NA,NA,NA,Indirect-object construction,NA,NA,NA,NA,Purposive but no sequential,Morphological but no compound,NA,NA,NA,Predicate negation also present,Question particle,NA,NA,NA,NA,Locational,NA,NA,Subject is left implicit,Deranked,Balanced/deranked,Balanced/deranked,Balanced,Identical,Different,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,VNeg,SOVNeg,mar,Marathi,mr
mlt,35.9166666667,14.4166666667,NA,NA,NA,NA,NA,NA,NA,NA,No velar nasal,NA,NA,NA,NA,No fixed stress,Right-edge: Ultimate or penultimate,Combined,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Two,Sex-based,Semantic and formal,NA,"All nouns, always obligatory",NA,Unique periphrastic associative plural,NA,NA,NA,NA,Two-way contrast,Identical,Related by gender markers,NA,NA,Generic-noun-based,Identical,NA,NA,NA,NA,Differentiation,"First, two-th, three-th",NA,NA,NA,NA,NA,NA,NA,NA,Double-Possessive,'And' different from 'with',NA,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,No perfect,NA,Second singular and second plural,Special imperative + special negative,Neither type of system,NA,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,NA,NA,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indirect-object construction,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed behaviour,NA,Locational,Nonverbal encoding,Identical,Possible,Locational,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,Logical meanings,NA,NA,mlt,Maltese,mt
mnx,54.1666666667,-4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Initial,Fixed stress (no weight-sensitivity),No weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Binary politeness distinction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Second person number-neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glv,Manx,gv
moe,53,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,Unique affixal associative plural,Definite affix,NA,NA,NA,NA,NA,NA,NA,NA,Interrogative-based,NA,NA,10 or more cases,Symmetrical,Case suffixes,NA,NA,Marked by mixed or other strategies,Absent,NA,Possessive suffixes,NA,NA,NA,NA,NA,'And' different from 'with',NA,NA,NA,NA,NA,Tense-aspect suffixes,Second singular and second plural,Normal imperative + special negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,NA,Postpositions,NA,Adjective-Noun,NA,NA,NA,Degree word-Adjective,NA,NA,NA,VO and Postpositions,NA,VO and AdjN,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative particle,NA,NA,Predicate negation also present,NA,Genitive,Nonverbal encoding,Identical,Impossible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,NegV,Other,myv,Erzya,myv
mol,47,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,NA,NA,ron,Romanian,ro
mym,10,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No fixed stress,Left-edge: First or second,Long vowel,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,Full reduplication only,NA,NA,NA,NA,NA,NA,"All nouns, always obligatory",NA,Associative same as additive plural,NA,NA,NA,NA,Two-way contrast,Different inflection,Related for all demonstratives,NA,Multiple politeness distinctions,Interrogative-based,Identical,NA,6-7 cases,Symmetrical,NA,NA,"First/one-th, two-th, three-th",Marked by reduplication,Absent,"Formally similar, with interrogative",NA,NA,NA,NA,NA,NA,NA,Identity,NA,NA,NA,NA,NA,Second singular and second plural,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,NA,NA,NA,NA,SOV,SV,OV,NA,NA,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Relative clause-Noun,NA,Final,Not initial interrogative phrase,NA,NA,OV and RelN,OV and AdjN,NA,NA,NA,Optional pronouns in subject position,NA,NA,NA,Indirect-object construction,NA,NA,NA,NA,NA,Morphological but no compound,Negative affix,Both,A/Fin and A/Cat,Predicate negation also present,Question particle,NA,Nonverbal encoding,Different,Impossible,NA,NA,NA,NA,Deranked,NA,Balanced/deranked,Balanced,Identical,Different,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,Logical meanings,[V-Neg],MorphNeg,mal,Malayalam,ml
mzn,36.5,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,NA,NA,Indefinite word same as 'one',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Optional,NA,NA,NA,NA,Genitives and adjectives collapsed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Postpositions,NA,Adjective-Noun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mzn,Mazandarani,mzn
nhc,19,-98.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Productive full and partial reduplication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nhn,Nahuatl,nah
occ,44,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No fixed stress,Right-edge: Ultimate or penultimate,Combined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First, second, three-th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Second singular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NA,NA,oci,Occitan,oc
oss,43,44,NA,NA,NA,NA,NA,NA,NA,NA,No velar nasal,NA,NA,NA,NA,No fixed stress,Left-edge: First or second,Long vowel,No rhythmic stress,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,Associative same as additive plural,NA,NA,NA,NA,NA,NA,NA,No gender distinctions,No politeness distinction,Interrogative-based,NA,No person marking,NA,NA,Case suffixes,NA,"First, two-th, three-th",Marked by suffix,NA,NA,No possessive affixes,Exists,Two classes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,Second singular,Special imperative + special negative,Maximal system,Inflectional optative absent,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,NA,NA,NA,NA,Mixed,OV and Postpositions,NA,OV and AdjN,NA,NA,Accusative,NA,Both the A and P arguments,No zero realization,A precedes P,NA,NA,Present,NA,NA,NA,NA,Negative particle,NA,NA,No predicate negation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M-T pronouns, paradigmatic",No N-M pronouns,Words derived from Sinitic cha,NA,NA,NA,NA,NegV,Other,oss,Ossetian,os
pap,12.25,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associative same as additive plural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First, two-th, three-th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'Have',Verbal encoding,Different,Impossible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pap,Papiamentu,pap
pnn,15.9166666667,120.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Productive full and partial reduplication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Two-way contrast,Different stem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marked by mixed or other strategies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grammatical marking,No past tense,Inflectional future exists,No perfect,NA,Second person number-neutral,Special imperative + special negative,Maximal system,Inflectional optative absent,NA,NA,NA,NA,NA,NA,NA,VSO,VS,VO,NA,Prepositions,Noun-Genitive,No dominant order,NA,Numeral-Noun,NA,NA,NA,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,NegVSO,pag,Pangasinan,pag
pol,52,20,Large,Average (5-6),Moderately high,In both plosives and fricatives,None missing in /p t k b d g/,None,No glottalized consonants,"/l/, no obstruent laterals",NA,NA,None,Complex,No tones,Penultimate,Fixed stress (no weight-sensitivity),No weight,Trochaic,All present,None,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,Associative same as additive plural,No definite or indefinite article,No definite or indefinite article,NA,NA,NA,NA,NA,"3rd person only, but also non-singular",Binary politeness distinction,Interrogative-based,Differentiated,No person marking,6-7 cases,Syncretism in relevant NP-types,Case suffixes,Differentiation,"First, second, three-th",Marked by preceding word,NA,NA,NA,NA,NA,NA,NA,NA,'And' different from 'with',NA,NA,NA,NA,NA,Tense-aspect suffixes,Second singular and second plural,Normal imperative + normal negative,Neither type of system,NA,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,NA,NA,Tense and aspect,None,SVO,No dominant order,VO,NA,Prepositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Noun-Relative clause,Degree word-Adjective,Initial,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,NA,NA,Accusative,Subject clitics on variable host,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,NA,Mixed,Present,NA,NA,NA,NA,Negative particle,NA,NA,Predicate negation also present,Question particle,'Have',Nonverbal encoding,Identical,Possible,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,Others,NA,NA,NA,NA,NegV,SNegVO,pol,Polish,pl
pro,44,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NA,NA,oci,Occitan,oc
rmc,46.6666666667,9.16666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Identity,"First, second, three-th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NA,NA,roh,Romansh,rm
rom,46,25,Average,Large (7-14),Average,In both plosives and fricatives,None missing in /p t k b d g/,None,No glottalized consonants,"/l/, no obstruent laterals",NA,NA,None,NA,No tones,No fixed stress,Right-edge: Ultimate or penultimate,Lexical stress,NA,All present,None,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,"All nouns, always obligatory",NA,NA,Definite affix,Indefinite word same as 'one',NA,NA,NA,NA,NA,NA,Multiple politeness distinctions,Interrogative-based,Differentiated,NA,2 cases,Additive-quantitatively asymmetrical,Case suffixes,Identity,"First, two-th, three-th",Marked by preceding word,NA,NA,No possessive affixes,NA,NA,NA,NA,NA,'And' different from 'with',NA,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,No perfect,Tense-aspect suffixes,Second singular,Special imperative + normal negative,Maximal system,NA,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,No grammatical evidentials,No grammatical evidentials,NA,NA,SVO,SV,VO,NA,Prepositions,Noun-Genitive,Noun-Adjective,Mixed,Numeral-Noun,Noun-Relative clause,Degree word-Adjective,No question particle,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative particle,NA,NA,Predicate negation also present,Interrogative intonation only,'Have',Nonverbal encoding,Identical,Impossible,NA,NA,NA,Subject is expressed overtly,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,SNegVO,ron,Romanian,ro
rsc,46.75,9.5,Average,Average (5-6),Moderately high,In both plosives and fricatives,None missing in /p t k b d g/,None,No glottalized consonants,"/l/, no obstruent laterals",NA,NA,None,Complex,No tones,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,roh,Romansh,rm
