wals.code,latitude,longitude,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,80A,81A,82A,83A,84A,85A,86A,87A,88A,89A,90A,91A,92A,93A,94A,95A,96A,97A,98A,99A,100A,101A,102A,103A,104A,105A,106A,107A,108A,109A,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,130A,131A,132A,133A,134A,135A,136A,137A,138A,139A,140A,141A,142A,143A,144A,glottocode,language
khd,31.8333333333,98.5833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plural clitic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Postpositional clitics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Relative clause-Noun,NA,NA,NA,NA,OV and Postpositions,OV and RelN,OV and NAdj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Neg-V],MorphNeg,kham1282,Khams Tibetan
khg,27.5,86.6666666667,NA,NA,NA,NA,NA,NA,NA,NA,Initial velar nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,NA,No definite or indefinite article,No definite or indefinite article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case suffixes,NA,NA,NA,NA,NA,Possessive prefixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,NA,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Relative clause-Noun,Degree word-Adjective,Final,Not initial interrogative phrase,Subordinating suffix,NA,OV and RelN,OV and AdjN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Identical,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OptDoubleNeg,OptDoubleNeg,khal1275,Khaling
khi,41.1666666667,48.0833333333,NA,NA,NA,NA,NA,NA,NA,NA,No velar nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case suffixes,NA,NA,NA,NA,NA,No possessive affixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genitive-Noun,Adjective-Noun,NA,NA,NA,NA,No question particle,Not initial interrogative phrase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrogative verb morphology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,khin1240,Khinalugh
khk,53,90,NA,NA,NA,NA,NA,NA,NA,NA,No initial velar nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,No gender,No gender,NA,NA,NA,Associative same as additive plural,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrogative-based,NA,NA,NA,NA,NA,NA,NA,Marked by suffix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Second singular and second plural,Normal imperative + special negative,NA,Inflectional optative absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No antipassive,No applicative construction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Locational,NA,NA,NA,NA,NA,NA,NA,Identical,Different,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,NA,NA,khak1248,Khakas
khl,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,None,No gender,No gender,Plural suffix,NA,NA,NA,"No definite, but indefinite article",Indefinite word same as 'one',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case suffixes,Identity,NA,NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,No grammatical evidentials,No grammatical evidentials,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Noun-Relative clause,NA,NA,NA,Initial subordinator word,OV and Postpositions,OV and NRel,OV and AdjN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decimal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V-Neg],MorphNeg,turk1303,Turkic Khalaj
khm,12.5,105,Average,Large (7-14),Moderately low,No voicing contrast,Other,None,Implosives only,"Laterals, but no /l/, no obstruent laterals",No initial velar nasal,Contrast absent,None,Complex,No tones,Ultimate,Fixed stress (no weight-sensitivity),Prominence,Undetermined,All present,None,NA,NA,NA,NA,NA,NA,Little affixation,Productive full and partial reduplication,No case marking,No subject person/number marking,None,No gender,No gender,Plural word,"All nouns, always optional",Person-number stem,NA,Definite word distinct from demonstrative,NA,No inclusive/exclusive,No person marking,NA,NA,NA,No gender distinctions,Pronouns avoided for politeness,Mixed,Identical,No person marking,No morphological case-marking,No case-marking,No case affixes or adpositional clitics,Differentiation,"One-th, two-th, three-th",NA,Optional,"Formally similar, with interrogative",No possessive affixes,NA,NA,Weakly differentiated,NA,NA,'And' different from 'with',NA,No grammatical marking,No past tense,No inflectional future,"From 'finish', 'already'",No tense-aspect inflection,No second-person imperatives,Normal imperative + special negative,NA,Inflectional optative absent,Verbal constructions,NA,NA,No grammatical evidentials,No grammatical evidentials,None,None,SVO,SV,VO,NA,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Relative clause,Adjective-Degree word,Final,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,Neutral,Neutral,Neutral,NA,No person marking,No person marking,A and P do not or do not both occur on the verb,Mixed,NA,Absent,NA,NA,Both,Morphological but no compound,NA,Symmetric,Non-assignable,Predicate negation also present,Question particle,Topic,Verbal encoding,Different,Possible,Exceed,Gap,Gap,Subject is left implicit,NA,NA,NA,NA,Identical,NA,Decimal,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,Affective meanings,NegV,SNegVO,cent1989,Central Khmer
khn,21,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,NA,NA,NA,NA,Noun-Demonstrative,NA,NA,Adjective-Degree word,Final,Not initial interrogative phrase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,Other,khun1259,Khun
kho,-25.5,18,Moderately large,Average (5-6),Moderately high,No voicing contrast,Other,None,No glottalized consonants,No laterals,No velar nasal,Contrast absent,None,Moderately complex,Complex tone system,NA,NA,NA,NA,All present,Clicks,Isolating/concatenative,Monoexponential case,6-7 categories per word,Dependent marking,Dependent marking,Dependent-marking,Strongly suffixing,Productive full and partial reduplication,No case marking,Syncretic,Three,Sex-based,Semantic and formal,Plural suffix,NA,Person-number affixes,Unique affixal associative plural,NA,Indefinite affix,Inclusive/exclusive,No person marking,Two-way contrast,NA,Unrelated,In 3rd person + 1st and/or 2nd person,Binary politeness distinction,NA,NA,No person marking,2 cases,Symmetrical,No case affixes or adpositional clitics,Identity,"First, two-th, three-th",NA,Absent,Formally different,NA,Exists,Two classes,Adjectives and relative clauses collapsed,Without marking,No action nominals,'And' different from 'with',Identity,Grammatical marking,"Present, 2-3 remoteness distinctions",No inflectional future,Other perfect,No tense-aspect inflection,No second-person imperatives,Normal imperative + special negative,Maximal system,Inflectional optative absent,Verbal constructions,Other,No overlap,No grammatical evidentials,No grammatical evidentials,Tense,None,SOV,SV,OV,XOV,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Relative clause-Noun,Degree word-Adjective,Second position,Initial interrogative phrase,Final subordinator word,OV and Postpositions,OV and RelN,OV and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Obligatory pronouns in subject position,Only the P argument,No person marking,A and P do not or do not both occur on the verb,Double-object construction,Distinct from reflexive,Present,No antipassive,Benefactive and other; both bases,NA,Both,Negative particle,Both,A/Fin and A/Cat,NA,Question particle,'Have',Mixed,Different,Impossible,Locational,Gap,NA,Subject is left implicit,Balanced,Balanced,Balanced,Balanced,NA,NA,Decimal,NA,NA,NA,NA,No M-T pronouns,No N-M pronouns,NA,NA,NA,NA,NA,VNeg,SOVNeg,nama1264,Nama (Namibia)
khr,22.5,84.3333333333,Moderately large,Average (5-6),Moderately high,In plosives alone,None missing in /p t k b d g/,None,No glottalized consonants,"/l/, no obstruent laterals",NA,NA,None,Moderately complex,No tones,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,Little affixation,NA,NA,NA,NA,NA,NA,Plural clitic,NA,NA,NA,NA,NA,NA,NA,NA,NA,Related for all demonstratives,NA,NA,NA,NA,NA,NA,NA,Postpositional clitics,Differentiation,NA,Marked by reduplication,Optional,NA,No possessive affixes,NA,NA,Adjectives and relative clauses collapsed,NA,NA,NA,NA,NA,NA,NA,NA,No tense-aspect inflection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No dominant order,SV,OV,NA,Postpositions,NA,NA,Demonstrative-Noun,Numeral-Noun,Mixed,NA,Final,Not initial interrogative phrase,Mixed,OV and Postpositions,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative particle,Asymmetric,A/Fin,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,Other,khar1287,Kharia
khs,25.5,92,Average,Average (5-6),Average,In plosives alone,Missing /g/,None,No glottalized consonants,"/l/, no obstruent laterals",Initial velar nasal,Contrast absent,None,Complex,No tones,Ultimate,Fixed stress (no weight-sensitivity),No weight,NA,All present,None,Exclusively isolating,Monoexponential case,4-5 categories per word,NA,NA,NA,Little affixation,Productive full and partial reduplication,No case marking,No subject person/number marking,Two,Sex-based,Semantic,Plural word,NA,Person stem + pronominal plural affix,NA,No definite or indefinite article,No definite or indefinite article,No inclusive/exclusive,No person marking,Three-way contrast,Identical,Related for all demonstratives,3rd person singular only,Binary politeness distinction,Interrogative-based,Differentiated,No person marking,No morphological case-marking,No case-marking,No case affixes or adpositional clitics,Differentiation,"First, two-th, three-th",NA,NA,NA,No possessive affixes,Absent,No possessive classification,NA,NA,NA,'And' identical to 'with',Identity,NA,NA,NA,NA,No tense-aspect inflection,NA,NA,NA,NA,Verbal constructions,Other,No overlap,No grammatical evidentials,No grammatical evidentials,None,None,SVO,SV,VO,VOX,Prepositions,Noun-Genitive,Noun-Adjective,Demonstrative-Noun,Numeral-Noun,Noun-Relative clause,Adjective-Degree word,NA,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Obligatory pronouns in subject position,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,NA,Absent,No antipassive,No applicative construction,NA,Morphological but no compound,"Negative word, unclear if verb or particle",Both,A/Cat,Predicate negation also present,Question particle,Topic,Mixed,Different,Impossible,NA,NA,NA,NA,Deranked,Balanced,Balanced,Balanced,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,NegV,SNegVO,khas1269,Khasi
khu,21.9166666667,92.4166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Obligatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Affective meanings,NA,NA,khum1248,Khumi Chin
khv,42.25,46.1666666667,NA,NA,NA,NA,NA,NA,NA,NA,No velar nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,khva1239,Inkhoqwari
khw,36,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Direct and indirect,Part of the tense system,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,NA,NA,Relative clause-Noun,NA,NA,NA,NA,OV and Postpositions,OV and RelN,OV and AdjN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,khow1242,Khowar
kic,42.25,-84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indirect only,Separate particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Verbal encoding,Different,Impossible,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kick1244,Kickapoo
kie,-4.25,144.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,Postpositions,NA,Noun-Adjective,Demonstrative prefix,Noun-Numeral,NA,NA,NA,NA,NA,OV and Postpositions,NA,OV and NAdj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VNeg,SOVNeg,kire1240,Kire
kij,-17.5,127.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other or none,NA,NA,kitj1240,Kitja
kik,-0.75,36.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong prefixing,Productive full and partial reduplication,NA,NA,NA,NA,NA,Plural prefix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No possessive affixes,NA,NA,NA,NA,NA,NA,NA,Grammatical marking,"Present, 2-3 remoteness distinctions",No inflectional future,Other perfect,Mixed type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,NA,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,NA,Noun-Relative clause,NA,No question particle,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,NA,Subject affixes on verb,NA,NA,NA,Double-object construction,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,NA,Interrogative intonation only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,[Neg-V],MorphNeg,kiku1240,Kikuyu
kil,-8,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Second singular and second plural,Special imperative + special negative,Maximal system,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,NA,Prepositions,NA,NA,NA,NA,NA,NA,Final,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Affective meanings,[Neg-V],MorphNeg,luba1250,Luba-Katanga
kim,-8,138.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head marking,Dependent marking,Inconsistent or other,Little affixation,NA,NA,NA,NA,NA,NA,Plural word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,Two classes,NA,NA,NA,NA,NA,NA,NA,NA,NA,No tense-aspect inflection,No second-person imperatives,Special imperative + special negative,Maximal system,Inflectional optative absent,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,NA,NA,Noun-Numeral,NA,NA,Final,NA,NA,OV and Postpositions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Negative word, unclear if verb or particle",NA,NA,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VNeg,SOVNeg,kima1246,Kimaama
kin,-2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Differentiated,NA,No morphological case-marking,No case-marking,Prepositional clitics,Differentiation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect prefixes,NA,NA,NA,Inflectional optative absent,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,VOX,Prepositions,NA,Noun-Adjective,Demonstrative-Noun,Noun-Numeral,NA,NA,NA,Not initial interrogative phrase,NA,VO and Prepositions,NA,VO and NAdj,NA,NA,NA,NA,NA,NA,NA,Double-object construction,NA,NA,NA,NA,Both,Morphological but no compound,Negative affix,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,[Neg-V],MorphNeg,kiny1244,Kinyarwanda
kio,37,-99,Average,Average (5-6),Average,In plosives alone,None missing in /p t k b d g/,None,Ejectives only,"No /l/, but lateral obstruents",No velar nasal,NA,None,Moderately complex,Simple tone system,NA,NA,NA,NA,All present,None,Exclusively concatenative,No case,8-9 categories per word,Head marking,Head marking,Inconsistent or other,Equal prefixing and suffixing,No productive reduplication,No case marking,Syncretic,NA,NA,NA,Plural suffix,NA,Number-indifferent pronouns,NA,No definite or indefinite article,No definite or indefinite article,'We' the same as 'I',Inclusive/exclusive,Two-way contrast,Identical,NA,No gender distinctions,No politeness distinction,Interrogative-based,Differentiated,No adpositions,Exclusively borderline case-marking,Symmetrical,Case suffixes,NA,NA,NA,Absent,NA,Possessive prefixes,Absent,Two classes,NA,NA,Restricted,'And' different from 'with',NA,Grammatical marking,No past tense,Inflectional future exists,No perfect,Tense-aspect suffixes,Second singular and second plural,Special imperative + special negative,Neither type of system,Inflectional optative absent,Affixes on verbs,Affixes on verbs,Overlap for either possibility or necessity,Indirect only,Verbal affix or clitic,None,"Singular-plural pairs, no suppletion",SOV,SV,OV,NA,No adpositions,Genitive-Noun,NA,Demonstrative-Noun,Numeral-Noun,Internally headed,NA,Initial,Initial interrogative phrase,Subordinating suffix,NA,Other,NA,Neutral,NA,Hierarchical,Subject affixes on verb,A or P argument,Zero in all 3sg forms,A and P do not or do not both occur on the verb,NA,Identical to reflexive,Absent,Implicit patient,No applicative construction,NA,Morphological but no compound,Double negation,Both,A/Cat,Predicate negation also present,Question particle,NA,Verbal encoding,Different,Impossible,NA,Non-reduction,NA,NA,Deranked,Deranked,Balanced/deranked,Balanced,Identical,Different,NA,NA,NA,NA,NA,No M-T pronouns,"N-M pronouns, paradigmatic",NA,NA,NA,NA,NA,ObligDoubleNeg,ObligDoubleNeg,kiow1266,Kiowa
kiq,42.4166666667,78.3333333333,NA,NA,NA,NA,NA,NA,NA,NA,No initial velar nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kalm1243,Kalmyk
