word_order,n,empirical_entropy,ci_upper,ci_lower,length,language,person
4,1541,10.589651146514786,10.653763159952103,10.523561956057012,7,English,Adult
5,1610,10.652844973001981,10.719452940738565,10.587777516328211,7,English,Adult
6,1704,10.734709620225837,10.799301855674498,10.673309075561695,7,English,Adult
7,2283,11.156715144224702,11.208859225106972,11.100645911140637,7,English,Adult
1,715,9.481799431665753,9.586886659152338,9.379378367071263,9,English,Adult
2,951,9.893301530860564,9.982993574694312,9.810571634741148,9,English,Adult
3,1123,10.133142212400601,10.213134592170878,10.048486873992337,9,English,Adult
4,1230,10.264442600226602,10.337649764007043,10.181152256865566,9,English,Adult
5,1301,10.345405246717796,10.414711649119289,10.276095306945898,9,English,Adult
6,1292,10.335390354693926,10.40832974076739,10.263269200372662,9,English,Adult
7,1242,10.278449458220482,10.35096678765266,10.197185958233016,9,English,Adult
8,1252,10.290018846932618,10.367414751246827,10.213104219641908,9,English,Adult
9,1816,10.826548487290914,10.886458695703706,10.767336155487515,9,English,Adult
1,212,7.727920454563198,7.906890595608519,7.523561956057013,5,Spanish,Child
2,494,8.948367231584678,9.063462434017742,8.826548487290916,5,Spanish,Child
3,664,9.375039431346925,9.46969265216833,9.278391331896826,5,Spanish,Child
4,550,9.103287808412022,9.209514238851876,8.988613618027944,5,Spanish,Child
5,1135,10.148476582178278,10.21434946777439,10.078117427467557,5,Spanish,Child
1,146,7.189824558880018,7.400879436282184,6.930737337562887,7,Spanish,Child
2,299,8.224001674198107,8.375147904740034,8.066089190457772,7,Spanish,Child
3,471,8.879583249612784,8.997179480937621,8.754803916086608,7,Spanish,Child
4,514,9.005624549193879,9.113742166049189,8.885696373339394,7,Spanish,Child
5,534,9.060695931687555,9.172427508645482,8.948367231584678,7,Spanish,Child
6,385,8.588714635582265,8.714245517666123,8.451211111832327,7,Spanish,Child
7,866,9.758223214726724,9.84238961111069,9.67767557642353,7,Spanish,Child
1,118,6.882643049361842,7.10852445677817,6.6147098441152075,9,Spanish,Child
2,238,7.894817763307945,8.076815597050832,7.693312296741422,9,Spanish,Child
3,357,8.479780264029099,8.603626344986193,8.344184760290036,9,Spanish,Child
4,349,8.447083226209653,8.584962500721156,8.312769357155734,9,Spanish,Child
